timestamp,lmp,moer,actual_dispatch_mw
2026-01-05 00:00:00,66.83,1186.8,10.0
2026-01-05 01:00:00,57.74,1198.8,0.0
2026-01-05 02:00:00,65.48,1171.8,10.0
2026-01-05 03:00:00,61.86,1179.9,0.0
2026-01-05 04:00:00,38.29,1113.1,0.0
2026-01-05 05:00:00,34.95,1037.9,0.0
2026-01-05 06:00:00,35.73,974.9,0.0
2026-01-05 07:00:00,25.17,949.7,0.0
2026-01-05 08:00:00,19.24,916.3,0.0
2026-01-05 09:00:00,6.64,789.4,0.0
2026-01-05 10:00:00,9.43,688.4,0.0
2026-01-05 11:00:00,-23.41,608.0,-10.0
2026-01-05 12:00:00,-32.84,566.7,-10.0
2026-01-05 13:00:00,-27.21,506.6,-10.0
2026-01-05 14:00:00,-26.41,515.2,-10.0
2026-01-05 15:00:00,-0.47,632.6,0.0
2026-01-05 16:00:00,17.34,704.8,0.0
2026-01-05 17:00:00,19.45,830.7,0.0
2026-01-05 18:00:00,39.61,874.4,0.0
2026-01-05 19:00:00,42.3,907.8,0.0
2026-01-05 20:00:00,48.86,972.2,0.0
2026-01-05 21:00:00,52.12,1124.2,0.0
2026-01-05 22:00:00,68.32,1178.4,10.0
2026-01-05 23:00:00,63.05,1161.1,10.0
2026-01-06 00:00:00,62.43,1180.0,10.0
2026-01-06 01:00:00,61.86,1243.8,0.0
2026-01-06 02:00:00,64.17,1158.3,10.0
2026-01-06 03:00:00,58.41,1139.7,0.0
2026-01-06 04:00:00,52.48,1146.0,0.0
2026-01-06 05:00:00,45.34,1062.8,0.0
2026-01-06 06:00:00,47.82,1013.1,0.0
2026-01-06 07:00:00,24.63,939.6,0.0
2026-01-06 08:00:00,16.27,879.0,0.0
2026-01-06 09:00:00,6.87,826.8,0.0
2026-01-06 10:00:00,7.85,694.6,0.0
2026-01-06 11:00:00,-21.3,618.7,-10.0
2026-01-06 12:00:00,-33.92,466.0,-10.0
2026-01-06 13:00:00,-39.02,498.5,-10.0
2026-01-06 14:00:00,-34.17,502.3,-10.0
2026-01-06 15:00:00,8.59,562.9,0.0
2026-01-06 16:00:00,19.59,665.6,0.0
2026-01-06 17:00:00,28.46,774.6,0.0
2026-01-06 18:00:00,30.35,896.4,0.0
2026-01-06 19:00:00,43.99,904.7,0.0
2026-01-06 20:00:00,50.67,1014.1,0.0
2026-01-06 21:00:00,57.52,1060.1,0.0
2026-01-06 22:00:00,66.21,1116.9,10.0
2026-01-06 23:00:00,65.32,1196.6,10.0
2026-01-07 00:00:00,69.07,1207.6,10.0
2026-01-07 01:00:00,64.38,1240.1,10.0
2026-01-07 02:00:00,62.72,1186.8,10.0
2026-01-07 03:00:00,60.0,1145.6,10.0
2026-01-07 04:00:00,41.26,1120.0,0.0
2026-01-07 05:00:00,40.84,1081.9,0.0
2026-01-07 06:00:00,32.14,1018.5,0.0
2026-01-07 07:00:00,23.24,912.0,0.0
2026-01-07 08:00:00,17.69,871.6,0.0
2026-01-07 09:00:00,20.73,791.5,0.0
2026-01-07 10:00:00,-1.05,767.4,0.0
2026-01-07 11:00:00,-22.27,655.7,-10.0
2026-01-07 12:00:00,-43.33,502.0,-10.0
2026-01-07 13:00:00,-35.99,491.4,-10.0
2026-01-07 14:00:00,-28.24,483.6,-10.0
2026-01-07 15:00:00,8.21,581.7,0.0
2026-01-07 16:00:00,19.4,701.4,0.0
2026-01-07 17:00:00,29.97,820.8,0.0
2026-01-07 18:00:00,32.25,847.0,0.0
2026-01-07 19:00:00,39.82,924.9,0.0
2026-01-07 20:00:00,55.12,948.8,0.0
2026-01-07 21:00:00,55.06,1069.8,0.0
2026-01-07 22:00:00,53.33,1094.8,0.0
